week,afg_2010_ger,afg_2010_wld,afg_2021_ger,afg_2021_wld,irak_2020_ger,irak_2020_wld,ukr_2014_ger,ukr_2014_wld,ukr_2022_ger,ukr_2022_wld,Mittelwert
1,48,63,2,1,33,4,6,8,1,1,17
2,60,63,4,1,12,4,5,9,1,1,16
3,48,58,5,3,23,4,31,23,3,1,20
4,49,65,5,3,23,4,22,22,4,2,20
5,37,73,3,3,13,3,18,16,4,5,18
6,55,68,4,2,14,3,10,11,5,3,18
7,42,65,4,3,21,3,62,53,10,4,27
8,50,85,13,7,79,30,48,47,85,11,46
9,100,100,100,100,100,100,100,100,100,100,100
10,98,69,38,29,15,12,80,43,56,90,53
11,87,67,20,16,21,6,78,42,40,45,42
12,66,56,11,9,14,5,52,34,31,30,31
13,85,56,6,6,16,4,31,25,24,24,28
14,58,57,5,4,21,4,31,25,25,17,25
15,46,57,4,3,21,3,63,39,22,15,27
16,39,56,3,2,17,4,50,33,22,14,24
17,39,56,5,2,13,4,58,31,21,13,24
